component,method,returntype,paralist
2,org.mybatis.jpetstore.domain.Order.getShipZip,java.lang.String,
2,org.mybatis.jpetstore.domain.Order.getShipCountry,java.lang.String,
2,org.mybatis.jpetstore.domain.Order.getBillAddress1,java.lang.String,
2,org.mybatis.jpetstore.domain.Order.getBillAddress2,java.lang.String,
2,org.mybatis.jpetstore.domain.Order.getBillCity,java.lang.String,
2,org.mybatis.jpetstore.domain.Order.getBillState,java.lang.String,
2,org.mybatis.jpetstore.domain.Order.getBillZip,java.lang.String,
2,org.mybatis.jpetstore.domain.Order.getBillCountry,java.lang.String,
2,org.mybatis.jpetstore.domain.Order.getCourier,java.lang.String,
2,org.mybatis.jpetstore.domain.Order.getTotalPrice,java.math.BigDecimal,
2,org.mybatis.jpetstore.domain.Order.getBillToFirstName,java.lang.String,
2,org.mybatis.jpetstore.domain.Order.getBillToLastName,java.lang.String,
2,org.mybatis.jpetstore.domain.Order.getShipToFirstName,java.lang.String,
2,org.mybatis.jpetstore.domain.Order.getShipToLastName,java.lang.String,
2,org.mybatis.jpetstore.domain.Order.getCreditCard,java.lang.String,
2,org.mybatis.jpetstore.domain.Order.getExpiryDate,java.lang.String,
2,org.mybatis.jpetstore.domain.Order.getCardType,java.lang.String,
2,org.mybatis.jpetstore.domain.Order.getLocale,java.lang.String,
2,org.mybatis.jpetstore.domain.Order.getStatus,java.lang.String,
3,org.mybatis.jpetstore.web.actions.CartActionBean.clear,void,
-1,org.mybatis.jpetstore.persistence.DaoConfig.newDaoManager,org.mybatis.dao.client.DaoManager,java.util.Properties
4,org.mybatis.jpetstore.mapper.ItemMapper.<init>,public,org.mybatis.dao.client.DaoManager
1,org.mybatis.jpetstore.mapper.SequenceMapper.<init>,public,org.mybatis.dao.client.DaoManager
2,org.mybatis.jpetstore.mapper.AccountMapper.<init>,public,org.mybatis.dao.client.DaoManager
4,org.mybatis.jpetstore.mapper.CategoryMapper.<init>,public,org.mybatis.dao.client.DaoManager
4,org.mybatis.jpetstore.mapper.ProductMapper.<init>,public,org.mybatis.dao.client.DaoManager
3,org.mybatis.jpetstore.mapper.OrderMapper.<init>,public,org.mybatis.dao.client.DaoManager
3,org.mybatis.jpetstore.service.OrderService.getOrder,org.mybatis.jpetstore.domain.Order,int
2,org.mybatis.jpetstore.domain.Order.setLineItems,void,java.util.List
