$0;1500625711434454128;1.13-SNAPSHOT;KIEKER;jwx-VirtualBox;1;false;0;NANOSECONDS;1
$1;1500625757976517119;public void org.mybatis.jpetstore.domain.Item.setProduct(org.mybatis.jpetstore.domain.Product);70A00118640066D8BCED96D73ED8A0A5;4363988038922010629;1500625757976475403;1500625757976508331;jwx-VirtualBox;19;3
$1;1500625757976742637;public void org.mybatis.jpetstore.domain.Product.setProductId(java.lang.String);70A00118640066D8BCED96D73ED8A0A5;4363988038922010629;1500625757976725533;1500625757976733849;jwx-VirtualBox;20;3
$1;1500625757976821763;public org.mybatis.jpetstore.domain.Product org.mybatis.jpetstore.domain.Item.getProduct();70A00118640066D8BCED96D73ED8A0A5;4363988038922010629;1500625757976807030;1500625757976813518;jwx-VirtualBox;21;3
$1;1500625757977001489;public void org.mybatis.jpetstore.domain.Product.setName(java.lang.String);70A00118640066D8BCED96D73ED8A0A5;4363988038922010629;1500625757976983494;1500625757976992133;jwx-VirtualBox;22;3
$1;1500625757977123883;public org.mybatis.jpetstore.domain.Product org.mybatis.jpetstore.domain.Item.getProduct();70A00118640066D8BCED96D73ED8A0A5;4363988038922010629;1500625757977109219;1500625757977115604;jwx-VirtualBox;23;3
$1;1500625757977278316;public void org.mybatis.jpetstore.domain.Product.setDescription(java.lang.String);70A00118640066D8BCED96D73ED8A0A5;4363988038922010629;1500625757977163328;1500625757977258213;jwx-VirtualBox;24;3
$1;1500625757977498453;public org.mybatis.jpetstore.domain.Product org.mybatis.jpetstore.domain.Item.getProduct();70A00118640066D8BCED96D73ED8A0A5;4363988038922010629;1500625757977317453;1500625757977487508;jwx-VirtualBox;25;3
$1;1500625757977569109;public void org.mybatis.jpetstore.domain.Product.setCategoryId(java.lang.String);70A00118640066D8BCED96D73ED8A0A5;4363988038922010629;1500625757977555350;1500625757977561960;jwx-VirtualBox;26;3
$1;1500625757978137091;public void org.mybatis.jpetstore.domain.Item.setStatus(java.lang.String);70A00118640066D8BCED96D73ED8A0A5;4363988038922010629;1500625757977965131;1500625757978126053;jwx-VirtualBox;27;3
$1;1500625757978564066;public void org.mybatis.jpetstore.domain.Item.setAttribute1(java.lang.String);70A00118640066D8BCED96D73ED8A0A5;4363988038922010629;1500625757978508598;1500625757978554748;jwx-VirtualBox;28;3
$1;1500625757979413499;public org.mybatis.jpetstore.domain.Item.<init>();70A00118640066D8BCED96D73ED8A0A5;4363988038922010629;1500625757979396045;1500625757979404203;jwx-VirtualBox;29;3
