smilehouse.openinterface.OpenInterfaceIF_exportOrderXML_RequestStruct_SOAPSerializer,4.2863138131322094E-5,2.2977406081605032E-5,8.264100680013979E-6,1.34119559803346E-5,1.6148597926372973E-5,1.22644349276152E-5,4.220283997367129E-5,9.561744569270302E-6,1.7222290057739355E-5,7.69350166255467E-6,8.873689141546377E-6,1.718217234786333E-5,6.3983807317000525E-6,0.49863931759756847,1.6908987622815514E-6,4.96559066225215E-6,5.368950093747683E-5,8.844752852388668E-6,0.2794014257578958,0.10892752372923098,0.10463985400214608,1.3383332671952284E-5,1.1161642863107144E-5,1.1318654361690525E-5,1.878891357399264E-5,8.995642936247679E-6,3.9536710203271845E-6,4.982351712685961E-6,4.0007429109379315E-5,1.094880987788187E-5,6.55934062091634E-6,1.855114962826293E-5,1.079019392755316E-5,1.4004864028163022E-5,5.987151184972651E-6,1.592965715138857E-5,2.8144643222111355E-6,1.889329716788642E-5,6.286109628509322E-6,1.0303266044845658E-5,5.648182236726833E-6,3.772360734148343E-5,1.1726146409491402E-5,0.007692808702390489,3.629564726873014E-5,1.3242316231803674E-5,1.9437760125493663E-5,3.208090491796109E-5,7.853057016181538E-6,7.14765196254513E-6
smilehouse.openinterface.OpenInterfaceIF_importCustomers_RequestStruct,2.2498492427453314E-4,1.2060642763618513E-4,4.337755345848995E-5,7.039820302853497E-5,8.476260115331978E-5,6.437496375103452E-5,2.2151907605449532E-4,5.018877458899095E-5,9.039831877458989E-5,4.0382528307954005E-5,4.657723084646624E-5,9.01877443670215E-5,3.358454996903808E-5,2.8468339201981796E-4,8.87538212489909E-6,2.6063958166160283E-5,2.8181157118612306E-4,4.642534675424258E-5,1.1471252002811514E-4,2.1587069778794383E-4,0.5266849857353395,7.024796174547371E-5,5.858650308434818E-5,5.941064293175706E-5,9.862139082524278E-5,4.721735582242581E-5,2.075247902730474E-5,2.615193547783213E-5,2.099955533123917E-4,5.746936105621843E-5,3.4429414579174984E-5,9.737338833038757E-5,5.6636799579639076E-5,7.351032636009665E-5,3.1426041458847925E-5,8.361339986223469E-5,1.4772881081782719E-5,9.916929132883502E-5,3.2995248607756585E-5,5.408095701667817E-5,2.9646822613068294E-5,1.980079693437996E-4,6.154953363164167E-5,0.4690303882637683,1.905127297780178E-4,6.950777858363667E-5,1.0202713054985184E-4,1.6838990979878E-4,4.12200206316228E-5,3.751741019537742E-5
smilehouse.opensyncro.pipes.component.ComponentClassNotFoundException,2.6249058503746215E-4,1.4071188036968426E-4,5.060872154668926E-5,8.213379433369383E-5,9.889278065086097E-5,7.510646302751938E-5,2.58446969538058E-4,5.8555393640963044E-5,1.054679892799868E-4,4.71144167327063E-5,5.434179473907873E-5,1.052223114879535E-4,3.918319504304031E-5,3.321409661677931E-4,1.0354934909118725E-5,3.040889806056117E-5,3.2879040419929646E-4,5.416459111375038E-5,1.3383544070961516E-4,2.518569896961606E-4,3.1602053841551603E-4,8.195850737873587E-5,0.3159266598403764,6.931457505828047E-5,1.1506187207164993E-4,5.5088630465865866E-5,2.4211979440044147E-5,3.0511541453602863E-5,2.450024410390004E-4,6.70496756794627E-5,4.016890111426878E-5,1.136058238228214E-4,6.60783237110068E-5,8.5764717946218E-5,3.6664856698926256E-5,9.755200406240546E-5,1.723556460660568E-5,1.1570110923029065E-4,3.849565537972758E-5,6.30964145374098E-5,3.458903674234778E-5,2.3101649091701872E-4,0.11413175414448617,0.5647668425618242,2.222717724654958E-4,8.109493346678611E-5,1.1903535880939732E-4,1.9646101213231597E-4,4.8091521535230574E-5,4.3771674849014735E-5
smilehouse.openinterface.OpenInterfaceIF_exportCustomers_RequestStruct_SOAPSerializer,5.8321353702371794E-5,3.126400645567903E-5,1.1244476251702765E-5,1.8248860505109455E-5,2.1972448414204252E-5,1.6687496029379177E-5,5.7422924793984515E-5,1.301010405088941E-5,2.3433358214345865E-5,1.0468095693249152E-5,1.2073907455946211E-5,2.337877240356737E-5,8.705900735327453E-6,0.6589751012845201,2.3007065998712324E-6,6.756387469044829E-6,7.30521494876331E-5,1.2034535547393215E-5,0.04876503976924605,0.12481833595282923,0.16382083498349623,1.8209914451108865E-5,1.5186991659930216E-5,1.5400627981101234E-5,2.556497078853335E-5,1.2239842819202398E-5,5.379527865945514E-6,6.7791932456022694E-6,5.443575821868335E-5,1.4897402321584869E-5,8.924909399651493E-6,2.5241459357007043E-5,1.4681582917190893E-5,1.905559565045607E-5,8.146364852208597E-6,2.1674548565186758E-5,3.829476244027838E-6,2.5706999411858885E-5,8.553140041519145E-6,0.001963431192814752,7.685149719891463E-6,5.132829612128504E-5,1.595507846902135E-5,7.200921027728955E-4,4.938535474772629E-5,1.801804166618679E-5,2.6447818169252836E-5,4.3650602461263545E-5,1.068519328851784E-5,9.725390076944152E-6
smilehouse.util.ParameterInitializer,2.962848144127617E-4,1.5882776654657E-4,5.712431807406715E-5,0.009996134152502915,1.1162468611101077E-4,8.477600998958357E-5,2.917206054997961E-4,6.609408080409023E-5,1.1904641694424313E-4,5.3180140597511934E-5,6.133800405384626E-5,1.1876910947811997E-4,4.422781742731601E-5,3.7490230175629073E-4,1.1688076230873607E-5,3.432387762435025E-5,3.711203732316055E-4,6.113798642945724E-5,1.5106602283216841E-4,2.842822017408127E-4,3.567064569637772E-4,9.25102176323394E-5,0.019884005291723027,7.823844807352267E-5,0.35665321436414005,6.218099080202379E-5,2.73291395725118E-5,3.443973579371551E-5,2.765451673763988E-4,7.568195526818707E-5,4.534042777232239E-5,1.2823195324415042E-4,7.458554703829817E-5,9.680645702485471E-5,4.138525677392005E-5,1.1011129185870711E-4,1.9454549427129048E-5,1.3059699520558E-4,4.345176078697231E-5,7.121973334266102E-5,3.904218633388357E-5,2.6075860255280305E-4,8.105517384351787E-5,0.6077672111354637,2.508880493551272E-4,9.153546329516109E-5,1.3436051120982242E-4,2.217542945803529E-4,5.428304230743957E-5,4.940703895084537E-5
smilehouse.openinterface.OpenInterfaceIF_exportCustomers_Fault_SOAPSerializer,4.953416580504855E-5,2.655350709808256E-5,9.550288456698225E-6,1.5499332999476184E-5,1.866189369414118E-5,1.4173216887397823E-5,4.877110178669237E-5,1.1049891854130295E-5,1.9902690480781818E-5,8.890883952706174E-6,1.0254750547968323E-5,1.9856329029442683E-5,7.394196175670502E-6,0.5365085835795155,1.9540627052035744E-6,5.738413049236348E-6,6.204549543897935E-5,1.0221310743805375E-5,2.5255865499921387E-5,0.0166044999189392,5.9635715107423005E-5,1.54662548870208E-5,1.2898791183790364E-5,1.3080239251831959E-5,2.1713136294861665E-5,1.03956846874329E-5,4.569002746823885E-6,5.757782714814998E-6,4.623400696575631E-5,1.2652833821857777E-5,7.580207144255547E-6,0.44540399596523,1.2469531592356145E-5,1.6184518611838508E-5,6.918964696138563E-6,1.840887795328859E-5,3.252494998422083E-6,2.1833765685818063E-5,7.264451698643946E-6,1.1906820425403362E-5,6.527240132395022E-6,4.359474136244142E-5,1.3551151544771553E-5,6.115969426170588E-4,4.19445399518484E-5,1.530329127697997E-5,2.246296643015452E-5,3.707383389694121E-5,9.075271790046087E-6,8.260080639564002E-6
smilehouse.opensyncro.defaultcomponents.workspace.OrderSource,0.3426604588441534,1.4422677083585969E-5,5.187289421215603E-6,8.418544263727595E-6,1.0136305743893364E-5,7.698257320492598E-6,2.649028052987246E-5,6.001806896241453E-6,1.0810251046634986E-5,4.829130395614563E-6,5.5699217124036085E-6,1.0785069580423352E-5,4.016196555146675E-6,3.404376296218122E-5,1.0613594390424114E-6,3.116849238620842E-6,3.3700337281327466E-5,5.551758706839067E-6,1.371785622239515E-5,0.03689714216545211,3.2391452415910814E-5,8.400577712916948E-6,7.006046294572052E-6,7.1046007673630845E-6,1.1793604215666624E-5,5.6464708317362265E-6,2.481677880366193E-6,3.127369974387535E-6,2.5112244129722466E-5,6.8724532594079495E-6,0.28778033064787945,1.1644362277773375E-5,6.772891689064788E-6,8.790706433979467E-6,3.758072076751921E-6,9.998878913083333E-6,1.7666097704136236E-6,1.1859124704019718E-5,3.945725159838299E-6,0.00180506858602375,3.5453048190140662E-6,2.367871313158267E-5,7.360379256836109E-6,0.05608883344694722,2.2782397553382466E-5,8.312063170739428E-6,1.2200878398655859E-5,2.0136847933909934E-5,0.274291632696116,4.4865062573001685E-6
smilehouse.openinterface.ImportResult_SOAPSerializer,5.2305428310588766E-5,2.8039082506804035E-5,1.0084593534557108E-5,1.6366466213576922E-5,1.970596106534701E-5,1.496615856521915E-5,5.149967354193874E-5,1.1668094472221112E-5,2.1016176071835043E-5,9.388297665823204E-6,1.0828467804237452E-5,2.096722086021529E-5,7.807875467270806E-6,0.50183622920464,2.0633856466601405E-6,6.059457093608457E-6,0.010555482816855699,1.0793157160544591E-5,0.23779923363941563,5.018651513612622E-5,6.29721237979159E-5,1.6331537496971614E-5,1.3620433222037584E-5,1.381203267184758E-5,2.2927909967006595E-5,1.0977286713539194E-5,4.824622394277255E-6,6.079910423908024E-6,4.882063718154218E-5,1.3360715410039722E-5,8.004293095874873E-6,2.2637769170966272E-5,1.316715806495183E-5,1.7089985553095333E-5,7.306056456501084E-6,1.9438789982932886E-5,3.4344606637783683E-6,2.305528814847537E-5,7.67087224269817E-6,0.20806356716255567,6.8924162800010055E-6,4.6033713942537716E-5,1.4309290852713451E-5,0.040857350335912986,4.429118956210274E-5,1.615945664563008E-5,2.3719690463341956E-5,3.914798461989025E-5,9.583001354692925E-6,8.722203124057912E-6
smilehouse.util.SimpleParser,2.222730888024446E-5,1.1915270894956508E-5,4.285470603419937E-6,6.954966464419808E-6,8.37409227930685E-6,6.359902593752374E-6,2.1884901587101457E-5,4.958382872575168E-6,8.930871080080867E-6,3.989578114891102E-6,4.601581639966101E-6,8.910067453285027E-6,3.3179741628151052E-6,2.8125198645660877E-5,8.76840350776618E-7,2.574979859957627E-6,2.7841478085605186E-5,4.586576302863019E-6,1.1332984302472038E-5,2.132687198219379E-5,2.676014501190716E-5,6.9401234280877735E-6,5.788033595887495E-6,5.869454211104015E-6,0.00966816819052956,0.825428517930063,2.050234089497661E-6,2.583671548466487E-6,2.0746439086988727E-5,5.677665930132064E-6,3.4014422738987863E-6,9.61997069854563E-6,5.595413302933183E-6,7.262427627815933E-6,3.104725050540858E-6,8.260557329599042E-6,1.459481749342584E-6,9.797396322925419E-6,3.2597543357622976E-6,5.342909708395056E-6,2.928947731335065E-6,1.956212981623674E-5,6.0807651884982415E-6,0.044108829992381915,0.12037765530661831,6.866997284995483E-6,1.007973557432391E-5,1.6636023722402157E-5,4.072317883446907E-6,3.706519747882859E-6
smilehouse.openinterface.OpenInterfaceIF_importOrders_ResponseStruct,2.770767505860398E-4,1.4853100569728767E-4,5.342096409084193E-5,8.669783277763689E-5,1.0438808811084764E-4,7.928000435027261E-5,2.7280843809386276E-4,6.180921954594672E-5,1.1132867015543207E-4,4.9732486565915174E-5,5.736147795612784E-5,1.1106934045681441E-4,4.136054006872352E-5,3.5059748763615933E-4,1.0930341432013994E-5,3.209866998589656E-5,0.39858681633613746,5.7174427419854174E-5,1.4127245371401944E-4,0.03731141092408334,3.33581274505999E-4,8.651280541792058E-5,7.215131393871646E-5,7.316627079275832E-5,1.2145566906869962E-4,5.8149814103004155E-5,2.5557398896977576E-5,3.220701710169524E-5,2.5861681949105214E-4,7.077551471974485E-5,4.240102018807688E-5,1.1991871063865031E-4,6.975018633679846E-5,9.053052078067798E-5,3.870226184833033E-5,1.0297280679575563E-4,1.819331628611554E-5,1.2213042757382752E-4,4.063479496901823E-5,6.660257742638729E-5,3.651109202679813E-5,2.438536933655797E-4,7.580038899820562E-5,0.5591044386948358,2.3462304544351437E-4,8.560124413895216E-5,1.256499558604893E-4,2.0737802405635926E-4,5.0763887458357854E-5,4.620399407141702E-5
