traceID,order,structtype,method1,method2,m1_para,m2_para,class1,class2
10,53,null,org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory,org.mybatis.jpetstore.domain.Product.setName,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
10,54,null,org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory,org.mybatis.jpetstore.domain.Product.setDescription,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
10,55,null,org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory,org.mybatis.jpetstore.domain.Product.setCategoryId,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
10,56,null,org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory,org.mybatis.jpetstore.domain.Product.<init>,java.lang.String,,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
10,57,null,org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory,org.mybatis.jpetstore.domain.Product.setProductId,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
10,58,null,org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory,org.mybatis.jpetstore.domain.Product.setName,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
10,59,null,org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory,org.mybatis.jpetstore.domain.Product.setDescription,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
10,60,null,org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory,org.mybatis.jpetstore.domain.Product.setCategoryId,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.domain.Product
11,0,null,org.mybatis.jpetstore.web.actions.AccountActionBean.editAccountForm,org.mybatis.jpetstore.domain.Account.getUsername,,,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Account
11,1,null,org.mybatis.jpetstore.web.actions.AccountActionBean.editAccountForm,org.mybatis.jpetstore.service.AccountService.getAccount,,java.lang.String,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.service.AccountService
11,2,null,org.mybatis.jpetstore.service.AccountService.getAccount,org.mybatis.jpetstore.mapper.AccountMapper.getAccount,java.lang.String,java.lang.String,org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.mapper.AccountMapper
11,3,null,org.mybatis.jpetstore.mapper.AccountMapper.getAccount,org.mybatis.jpetstore.domain.Account.<init>,java.lang.String,,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account
11,4,null,org.mybatis.jpetstore.mapper.AccountMapper.getAccount,org.mybatis.jpetstore.domain.Account.setUsername,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account
11,5,null,org.mybatis.jpetstore.mapper.AccountMapper.getAccount,org.mybatis.jpetstore.domain.Account.setEmail,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account
11,6,null,org.mybatis.jpetstore.mapper.AccountMapper.getAccount,org.mybatis.jpetstore.domain.Account.setFirstName,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account
11,7,null,org.mybatis.jpetstore.mapper.AccountMapper.getAccount,org.mybatis.jpetstore.domain.Account.setLastName,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account
11,8,null,org.mybatis.jpetstore.mapper.AccountMapper.getAccount,org.mybatis.jpetstore.domain.Account.setStatus,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account
11,9,null,org.mybatis.jpetstore.mapper.AccountMapper.getAccount,org.mybatis.jpetstore.domain.Account.setAddress1,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account
11,10,null,org.mybatis.jpetstore.mapper.AccountMapper.getAccount,org.mybatis.jpetstore.domain.Account.setAddress2,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account
