From Class,To Class,uniTraceCount,uniTraceIDList,uniFlowTypeList,traceCount,traceList
org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.domain.Order,5,3 6 28 44 34,null null null null,137,3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 3 6 28 44 28 44 28 44 28 44 28 44 28 44 28 44 28 44 28 44 28 44 28 44 28 44 28 44 28 44 28 44 28 44 28 44 28 44 28 44 28 44 28 44 28 44 28 44 28 44 28 44 28 44 28 44 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34 34
org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.domain.Cart,7,4 16 5 25 28 44 42,null null null null null null,10,4 16 4 5 16 25 28 44 42 42
org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.CartItem,8,4 5 7 15 23 40 16 42,null null null null null null null null,16,4 5 7 15 23 40 7 15 23 40 16 16 16 16 16 42
org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.domain.Item,3,4 16 42,null,3,4 16 42
org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.domain.Order,5,7 37 40 34 35,null null null,7,7 37 40 7 40 34 35
org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.web.actions.CartActionBean,4,7 40 28 44,null null null,4,7 40 28 44
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.Account,2,7 40,null,18,7 40 7 40 7 40 7 40 7 40 7 40 7 40 7 40 7 40
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.Cart,2,7 40,null,4,7 40 7 40
org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.Item,5,7 15 23 40 16,null null,5,7 15 23 40 16
org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.LineItem,2,7 40,null,2,7 40
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.CartItem,2,7 40,null,4,7 40 7 40
org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.Item,3,7 40 34,null null,5,7 40 7 40 34
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.service.AccountService,4,8 14 10 11,null null null,6,8 14 8 14 10 11
org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.mapper.AccountMapper,4,8 14 11 10,null null null,6,8 14 8 11 14 10
org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account,4,8 14 11 10,null null null,109,8 14 8 14 8 14 8 14 8 14 8 14 8 14 8 14 8 14 8 14 8 14 8 14 8 14 8 14 8 14 8 14 8 14 8 11 14 8 11 14 8 11 14 8 11 14 8 11 14 8 11 14 8 11 14 8 11 14 8 11 14 8 11 14 8 11 14 8 11 14 8 11 14 8 11 14 8 11 14 8 11 14 8 11 14 8 11 14 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.service.CatalogService,3,8 14 10,null null,3,8 14 10
org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.service.CatalogService,1,16,null,2,16 16
org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.persistence.DaoConfig,2,17 38,null,2,17 38
