From Method,To Method,uniTraceCount,uniTraceIDList,flowType
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername(java.lang.String),org.mybatis.jpetstore.domain.Order.setShipState(java.lang.String),2,3 6,null
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername(java.lang.String),org.mybatis.jpetstore.domain.Order.setShipToFirstName(java.lang.String),2,3 6,null
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername(java.lang.String),org.mybatis.jpetstore.domain.Order.setShipToLastName(java.lang.String),2,3 6,null
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername(java.lang.String),org.mybatis.jpetstore.domain.Order.setShipZip(java.lang.String),2,3 6,null
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername(java.lang.String),org.mybatis.jpetstore.domain.Order.setCardType(java.lang.String),2,3 6,null
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername(java.lang.String),org.mybatis.jpetstore.domain.Order.setCourier(java.lang.String),2,3 6,null
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername(java.lang.String),org.mybatis.jpetstore.domain.Order.setCreditCard(java.lang.String),2,3 6,null
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername(java.lang.String),org.mybatis.jpetstore.domain.Order.setExpiryDate(java.lang.String),2,3 6,null
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername(java.lang.String),org.mybatis.jpetstore.domain.Order.setLocale(java.lang.String),2,3 6,null
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername(java.lang.String),org.mybatis.jpetstore.domain.Order.setOrderDate(java.util.Date),2,3 6,null
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername(java.lang.String),org.mybatis.jpetstore.domain.Order.setOrderId(int),2,3 6,null
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername(java.lang.String),org.mybatis.jpetstore.domain.Order.setTotalPrice(java.math.BigDecimal),2,3 6,null
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername(java.lang.String),org.mybatis.jpetstore.domain.Order.setUsername(java.lang.String),2,3 6,null
org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername(java.lang.String),org.mybatis.jpetstore.domain.Order.setStatus(java.lang.String),2,3 6,null
