method1,method2,method2return,method2para,class1,class2
org.mybatis.jpetstore.web.actions.CatalogActionBean.viewCategory,org.mybatis.jpetstore.service.CatalogService.getCategory,Category,String,org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.service.CatalogService
org.mybatis.jpetstore.web.actions.CatalogActionBean.viewItem,org.mybatis.jpetstore.service.CatalogService.getItem,Item,String,org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.service.CatalogService
org.mybatis.jpetstore.web.actions.CartActionBean.addItemToCart,org.mybatis.jpetstore.service.CatalogService.getItem,Item,String,org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.service.CatalogService
org.mybatis.jpetstore.web.actions.CatalogActionBean.viewItem,org.mybatis.jpetstore.domain.Item.getProduct,Product,,org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.domain.Item
org.mybatis.jpetstore.web.actions.CatalogActionBean.viewProduct,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,List,String,org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.service.CatalogService
org.mybatis.jpetstore.web.actions.CatalogActionBean.viewProduct,org.mybatis.jpetstore.service.CatalogService.getProduct,Product,String,org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.service.CatalogService
org.mybatis.jpetstore.web.actions.CartActionBean.addItemToCart,org.mybatis.jpetstore.domain.Cart.containsItemId,boolean,String,org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.domain.Cart
org.mybatis.jpetstore.web.actions.CartActionBean.addItemToCart,org.mybatis.jpetstore.domain.Cart.incrementQuantityByItemId,void,String,org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.domain.Cart
org.mybatis.jpetstore.web.actions.CartActionBean.addItemToCart,org.mybatis.jpetstore.service.CatalogService.isItemInStock,boolean,String,org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.service.CatalogService
org.mybatis.jpetstore.web.actions.CartActionBean.addItemToCart,org.mybatis.jpetstore.domain.Cart.addItem,void,"Item,boolean",org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.domain.Cart
org.mybatis.jpetstore.web.actions.CartActionBean.removeItemFromCart,org.mybatis.jpetstore.domain.Cart.removeItemById,Item,String,org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.domain.Cart
org.mybatis.jpetstore.domain.Cart.getSubTotal,org.mybatis.jpetstore.domain.Cart.getAllCartItems,Iterator,,org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.Cart
org.mybatis.jpetstore.web.actions.CartActionBean.updateCartQuantities,org.mybatis.jpetstore.domain.Cart.getAllCartItems,Iterator,,org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.domain.Cart
org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Cart.getAllCartItems,Iterator,,org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.Cart
org.mybatis.jpetstore.web.actions.CartActionBean.updateCartQuantities,org.mybatis.jpetstore.domain.CartItem.getItem,Item,,org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.domain.CartItem
org.mybatis.jpetstore.domain.LineItem.LineItem,org.mybatis.jpetstore.domain.CartItem.getItem,Item,,org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.CartItem
org.mybatis.jpetstore.domain.Cart.getSubTotal,org.mybatis.jpetstore.domain.CartItem.getItem,Item,,org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.CartItem
org.mybatis.jpetstore.domain.Cart.removeItemById,org.mybatis.jpetstore.domain.CartItem.getItem,Item,,org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.CartItem
org.mybatis.jpetstore.domain.Item.toString,org.mybatis.jpetstore.domain.Item.getItemId,String,,org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.domain.Item
org.mybatis.jpetstore.web.actions.CartActionBean.updateCartQuantities,org.mybatis.jpetstore.domain.Item.getItemId,String,,org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.domain.Item
org.mybatis.jpetstore.domain.LineItem.LineItem,org.mybatis.jpetstore.domain.Item.getItemId,String,,org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.Item
org.mybatis.jpetstore.domain.Cart.addItem,org.mybatis.jpetstore.domain.Item.getItemId,String,,org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.Item
org.mybatis.jpetstore.web.actions.CartActionBean.updateCartQuantities,org.mybatis.jpetstore.domain.Cart.setQuantityByItemId,void,"String,int",org.mybatis.jpetstore.web.actions.CartActionBean,org.mybatis.jpetstore.domain.Cart
org.mybatis.jpetstore.domain.LineItem.LineItem,org.mybatis.jpetstore.domain.Item.getListPrice,BigDecimal,,org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.Item
org.mybatis.jpetstore.domain.LineItem.calculateTotal,org.mybatis.jpetstore.domain.Item.getListPrice,BigDecimal,,org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.Item
org.mybatis.jpetstore.domain.Cart.getSubTotal,org.mybatis.jpetstore.domain.Item.getListPrice,BigDecimal,,org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.Item
org.mybatis.jpetstore.domain.CartItem.calculateTotal,org.mybatis.jpetstore.domain.Item.getListPrice,BigDecimal,,org.mybatis.jpetstore.domain.CartItem,org.mybatis.jpetstore.domain.Item
org.mybatis.jpetstore.domain.Item.toString,org.mybatis.jpetstore.domain.Item.getProductId,String,,org.mybatis.jpetstore.domain.Item,org.mybatis.jpetstore.domain.Item
org.mybatis.jpetstore.service.OrderService.getOrder,org.mybatis.jpetstore.domain.Item.setQuantity,void,int,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.domain.Item
org.mybatis.jpetstore.domain.Order.addLineItem,org.mybatis.jpetstore.domain.LineItem.LineItem,,"int,CartItem",org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.LineItem
org.mybatis.jpetstore.domain.LineItem.setItem,org.mybatis.jpetstore.domain.LineItem.calculateTotal,void,,org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.LineItem
org.mybatis.jpetstore.domain.LineItem.setQuantity,org.mybatis.jpetstore.domain.LineItem.calculateTotal,void,,org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.LineItem
org.mybatis.jpetstore.domain.LineItem.setItem,org.mybatis.jpetstore.domain.LineItem.calculateTotal,void,,org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.LineItem
org.mybatis.jpetstore.domain.LineItem.setQuantity,org.mybatis.jpetstore.domain.LineItem.calculateTotal,void,,org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.LineItem
org.mybatis.jpetstore.service.OrderService.getOrder,org.mybatis.jpetstore.domain.LineItem.getItemId,String,,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.domain.LineItem
org.mybatis.jpetstore.service.OrderService.insertOrder,org.mybatis.jpetstore.domain.LineItem.getItemId,String,,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.domain.LineItem
org.mybatis.jpetstore.service.OrderService.insertOrder,org.mybatis.jpetstore.domain.LineItem.getQuantity,int,,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.domain.LineItem
org.mybatis.jpetstore.service.OrderService.getOrder,org.mybatis.jpetstore.domain.LineItem.setItem,void,Item,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.domain.LineItem
org.mybatis.jpetstore.service.OrderService.insertOrder,org.mybatis.jpetstore.domain.LineItem.setOrderId,void,int,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.domain.LineItem
org.mybatis.jpetstore.domain.LineItem.LineItem,org.mybatis.jpetstore.domain.CartItem.getQuantity,int,,org.mybatis.jpetstore.domain.LineItem,org.mybatis.jpetstore.domain.CartItem
org.mybatis.jpetstore.domain.Cart.getSubTotal,org.mybatis.jpetstore.domain.CartItem.getQuantity,int,,org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.CartItem
org.mybatis.jpetstore.service.OrderService.getNextId,org.mybatis.jpetstore.mapper.SequenceMapper.getSequence,Sequence,Sequence,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.mapper.SequenceMapper
org.mybatis.jpetstore.service.OrderService.getNextId,org.mybatis.jpetstore.mapper.SequenceMapper.updateSequence,void,Sequence,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.mapper.SequenceMapper
org.mybatis.jpetstore.service.CatalogService.getProduct,org.mybatis.jpetstore.mapper.ProductMapper.getProduct,Product,String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.mapper.ProductMapper
org.mybatis.jpetstore.service.CatalogService.getProductListByCategory,org.mybatis.jpetstore.mapper.ProductMapper.getProductListByCategory,List,String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.mapper.ProductMapper
org.mybatis.jpetstore.service.CatalogService.searchProductList,org.mybatis.jpetstore.mapper.ProductMapper.searchProductList,List,String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.mapper.ProductMapper
org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Cart.getSubTotal,BigDecimal,,org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.Cart
org.mybatis.jpetstore.domain.Cart.addItem,org.mybatis.jpetstore.domain.CartItem.setItem,void,Item,org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.CartItem
org.mybatis.jpetstore.domain.Cart.addItem,org.mybatis.jpetstore.domain.CartItem.setQuantity,void,int,org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.CartItem
org.mybatis.jpetstore.domain.Cart.setQuantityByItemId,org.mybatis.jpetstore.domain.CartItem.setQuantity,void,int,org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.CartItem
org.mybatis.jpetstore.domain.Cart.addItem,org.mybatis.jpetstore.domain.CartItem.setInStock,void,boolean,org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.CartItem
org.mybatis.jpetstore.domain.Cart.addItem,org.mybatis.jpetstore.domain.CartItem.incrementQuantity,void,,org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.CartItem
org.mybatis.jpetstore.domain.Cart.incrementQuantityByItemId,org.mybatis.jpetstore.domain.CartItem.incrementQuantity,void,,org.mybatis.jpetstore.domain.Cart,org.mybatis.jpetstore.domain.CartItem
org.mybatis.jpetstore.service.OrderService.getOrder,org.mybatis.jpetstore.mapper.ItemMapper.getInventoryQuantity,int,String,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.mapper.ItemMapper
org.mybatis.jpetstore.service.CatalogService.isItemInStock,org.mybatis.jpetstore.mapper.ItemMapper.getInventoryQuantity,int,String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.mapper.ItemMapper
org.mybatis.jpetstore.service.OrderService.getOrder,org.mybatis.jpetstore.mapper.ItemMapper.getItem,Item,String,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.mapper.ItemMapper
org.mybatis.jpetstore.service.CatalogService.getItem,org.mybatis.jpetstore.mapper.ItemMapper.getItem,Item,String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.mapper.ItemMapper
org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.mapper.ItemMapper.getItemListByProduct,List,String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.mapper.ItemMapper
org.mybatis.jpetstore.service.OrderService.insertOrder,org.mybatis.jpetstore.mapper.ItemMapper.updateInventoryQuantity,void,Map,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.mapper.ItemMapper
org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Account.getAddress1,String,,org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.Account
org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Account.getAddress2,String,,org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.Account
org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Account.getCity,String,,org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.Account
org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Account.getCountry,String,,org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.Account
org.mybatis.jpetstore.web.actions.AccountActionBean.editAccount,org.mybatis.jpetstore.domain.Account.getFavouriteCategoryId,String,,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Account
org.mybatis.jpetstore.web.actions.AccountActionBean.newAccount,org.mybatis.jpetstore.domain.Account.getFavouriteCategoryId,String,,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Account
org.mybatis.jpetstore.web.actions.AccountActionBean.signon,org.mybatis.jpetstore.domain.Account.getFavouriteCategoryId,String,,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Account
org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Account.getFirstName,String,,org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.Account
org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Account.getLastName,String,,org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.Account
org.mybatis.jpetstore.web.actions.AccountActionBean.getPassword,org.mybatis.jpetstore.domain.Account.getPassword,String,,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Account
org.mybatis.jpetstore.service.AccountService.updateAccount,org.mybatis.jpetstore.domain.Account.getPassword,String,,org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.domain.Account
org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Account.getState,String,,org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.Account
org.mybatis.jpetstore.domain.Order.initOrder,org.mybatis.jpetstore.domain.Account.getZip,String,,org.mybatis.jpetstore.domain.Order,org.mybatis.jpetstore.domain.Account
org.mybatis.jpetstore.web.actions.AccountActionBean.setPassword,org.mybatis.jpetstore.domain.Account.setPassword,void,String,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Account
org.mybatis.jpetstore.web.actions.AccountActionBean.signon,org.mybatis.jpetstore.domain.Account.setPassword,void,String,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Account
org.mybatis.jpetstore.web.actions.AccountActionBean.setUsername,org.mybatis.jpetstore.domain.Account.setUsername,void,String,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Account
org.mybatis.jpetstore.service.OrderService.insertOrder,org.mybatis.jpetstore.service.OrderService.getNextId,int,String,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.service.OrderService
org.mybatis.jpetstore.service.OrderService.getOrder,org.mybatis.jpetstore.mapper.OrderMapper.getOrder,Order,int,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.mapper.OrderMapper
org.mybatis.jpetstore.service.OrderService.getOrder,org.mybatis.jpetstore.mapper.LineItemMapper.getLineItemsByOrderId,List,int,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.mapper.LineItemMapper
org.mybatis.jpetstore.service.OrderService.getOrder,org.mybatis.jpetstore.domain.Order.setLineItems,void,List,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.domain.Order
org.mybatis.jpetstore.service.OrderService.getOrder,org.mybatis.jpetstore.domain.Order.getLineItems,List,,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.domain.Order
